Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
5881791;Abbotsford;Abbotsford;Abbotsford,Abotsford,Abotsfordas,YXX,abottsufodo,abwtsfwrd,abwtsfwrd  brytysh klmbya,aebeocheupeodeu,ya bo si fu,Абботсфорд,Аботсфорд,أبوتسفورد,ابوتسفورد، بریتیش کلمبیا,ایباٹسفورڈ,ایبٹس فورڈ، برٹش کولمبیا,アボッツフォード,亞博斯福,애버츠퍼드;P;PPL;CA;Canada;;02;5909;5909052;;141397;;114;America/Vancouver;2021-12-05;Canada;49.05798,-122.25257
5882428;Adstock;Adstock;adstwk,adstwk  kbk,أدستوك,ادستوک، کبک;P;PPL;CA;Canada;;10;12;31056;;2643;;390;America/Toronto;2016-06-22;Canada;46.05007,-71.08235
5885383;Anmore;Anmore;;P;PPLA3;CA;Canada;;02;5915;5915038;;2210;;183;America/Vancouver;2019-04-30;Canada;49.31637,-122.85263
5906281;Bouctouche;Bouctouche;Baktush,Бактуш;P;PPL;CA;Canada;;04;;;;2361;;27;America/Moncton;2021-12-26;Canada;46.46844,-64.73905
5913601;Calmar;Calmar;;P;PPL;CA;Canada;;01;;;;2228;;725;America/Edmonton;2021-12-22;Canada;53.26683,-113.81874
5924618;Cochrane;Cochrane;Kokran,Кокран;P;PPL;CA;Canada;;01;;;;25853;;1143;America/Edmonton;2021-11-11;Canada;51.18341,-114.46871
5964347;Grande Prairie;Grande Prairie;Gran Preri,Grand Preri,Grand-Prehry,Grand-Preri,Grande Prairie,Qrand-Preri,YQU,da cao yuan cheng,geulaendipeuleli,ghrand brary,grnd pryry,Гранд Прери,Гранд-Прери,Гранд-Прері,Гранд-Прэры,غراند براري,گرانڈ پرائری,گرند پریری,گرینڈ پریری,გრანდე-პრერია,大草原城,그랜디프레리;P;PPL;CA;Canada;;01;;;;41462;;653;America/Edmonton;2019-09-05;Canada;55.16667,-118.80271
5989117;Kanata;Kanata;Kanata,kan na ta,Каната,坎納塔;P;PPL;CA;Canada;;08;3506;3506008;;90000;;93;America/Toronto;2019-08-07;Canada;45.3001,-75.91606
5994866;La Broquerie;La Broquerie;;P;PPL;CA;Canada;;03;;;;1073;268;280;America/Winnipeg;2013-07-18;Canada;49.51688,-96.50029
6024829;Lachute;Lachute;Lashit,lashwt,lshwt,Лашит,لاشوت,لاچوٹ,لشوت;P;PPL;CA;Canada;;10;15;76020;;9562;;70;America/Toronto;2016-06-22;Canada;45.65008,-74.33253
6052583;L'Épiphanie;L'Epiphanie;;P;PPL;CA;Canada;;10;14;60035;;4606;;21;America/Toronto;2016-06-22;Canada;45.85008,-73.48246
6061745;Lucan;Lucan;;P;PPL;CA;Canada;;08;3539;3539060;;2541;;304;America/Toronto;2019-08-08;Canada;43.18339,-81.39976
6066548;Markland Wood;Markland Wood;;P;PPLX;CA;Canada;;08;3520;;;10554;;133;America/Toronto;2020-05-02;Canada;43.63347,-79.57569
6073561;Mildmay;Mildmay;;P;PPL;CA;Canada;;08;3541;3541004;;1219;;313;America/Toronto;2020-05-30;Canada;44.043,-81.11889
6075061;Mirabel;Mirabel;Mirabel,Mirabel',myrabl  kbk,myrabyl  kybk,Мирабел,Мирабель,ميرابيل، كيبك,میرابل، کبک;P;PPL;CA;Canada;;10;15;74005;;34626;;70;America/Toronto;2016-06-22;Canada;45.65008,-74.08251
6087701;Newmarket;Newmarket;N'jumarket,Njumarket,niu ma ke te,nyumakes,nyumaketto,nywmarkt,nywmarkt  antaryw,Њумаркет,Ньюмаркет,نيوماركت,نیومارکت، انتاریو,ニューマーケット,纽马克特,뉴마켓;P;PPL;CA;Canada;;08;;;;84224;;250;America/Toronto;2021-12-21;Canada;44.05011,-79.46631
6089125;Norfolk County;Norfolk County;;P;PPL;CA;Canada;;08;;;;60847;;235;America/Toronto;2010-09-22;Canada;42.8334,-80.38297
6095645;Owen Sound;Owen Sound;Ouehn-Saund,Oven Saund,YOS,awwn sawnd,awyn sawnd,ouensaundo,Овен Саунд,Оуэн-Саунд,أوين ساوند,اوون ساؤنڈ,اوون ساوند,オーウェンサウンド;P;PPL;CA;Canada;;08;;;;21341;;180;America/Toronto;2021-11-12;Canada;44.56717,-80.94349
6095779;Oxford;Oxford;;P;PPL;CA;Canada;;07;;;;1190;;6;America/Halifax;2021-12-27;Canada;45.73345,-63.86542
6101546;Perth;Perth;Pert,pasu,po si,prt  antaryw,Перт,پرت، انتاریو,パース,珀斯;P;PPL;CA;Canada;;08;;;;5573;;134;America/Toronto;2019-08-08;Canada;44.90011,-76.24939
6104221;Pictou;Pictou;Piogto,pyktw,پیکتو;P;PPL;CA;Canada;;07;;;;3186;;45;America/Halifax;2021-12-27;Canada;45.67875,-62.70936
6112057;Port Williams;Port Williams;;P;PPL;CA;Canada;;07;;;;1120;;31;America/Halifax;2019-08-08;Canada;45.10015,-64.41546
6112862;Preeceville;Preeceville;;P;PPL;CA;Canada;;11;;;;1003;;508;America/Regina;2008-04-11;Canada;51.94998,-102.66766
6124931;Rivière-Rouge;Riviere-Rouge;Rivjer Ruzh,rywyyr-rwzh  kbk,Ривјер Руж,ریوییر-روژ، کبک;P;PPL;CA;Canada;;10;15;79037;;4645;;240;America/Toronto;2021-12-25;Canada;46.41679,-74.86596
6137378;Saint-Amable;Saint-Amable;;P;PPL;CA;Canada;;10;16;59015;;9486;;44;America/Toronto;2019-08-08;Canada;45.65008,-73.29916
6138446;Saint-Jean-Baptiste;Saint-Jean-Baptiste;;P;PPL;CA;Canada;;10;16;71083;;1703;;24;America/Toronto;2019-08-08;Canada;45.3806,-74.0121
6154636;Squamish;Squamish;YSE,seukwomisi,skwamysh,سكواميش,스쿼미시;P;PPL;CA;Canada;;02;5931;5931006;;17587;;4;America/Vancouver;2019-08-26;Canada;49.69925,-123.15631
6160362;Swan River;Swan River;Svon River,ZJN,tian e he,Свон Ривер,天鹅河;P;PPL;CA;Canada;;03;;;;4198;;340;America/Winnipeg;2008-04-11;Canada;52.1058,-101.26759
6166142;Thunder Bay;Thunder Bay;Tander Bej,Tander Bejus,Tander Bėjus,Tander-Bej,Thunder Bay,Tundurbej,YQT,sandabei,sang de bei,seondeobei,thandr bay,thandr by,Тандер Беј,Тандер-Бей,Тъндърбей,תאנדר ביי,تھنڈر بے,تھنڈربے، انٹاریو,ثاندر باي,ثاندر بی,തണ്ടർ ബേ,サンダーベイ,桑德贝,선더베이;P;PPL;CA;Canada;;08;3558;;;107909;;188;America/Thunder_Bay;2021-12-21;Canada;48.38202,-89.25018
6170118;Tumbler Ridge;Tumbler Ridge;TUX,Tumbler Ridge;P;PPL;CA;Canada;;02;5955;5955003;;2454;830;838;America/Dawson_Creek;2019-02-26;Canada;55.13027,-120.99415
6325572;Neuville;Neuville;Nevil,nwwyl  kbk,nywfyl,Невил,نوویل، کبک,نيوفيل;P;PPL;CA;Canada;;10;03;34007;;3638;;18;America/Toronto;2016-06-22;Canada;46.69823,-71.58275
6620953;Saint-Georges;Saint-Georges;Saint-Georges;P;PPL;CA;Canada;;10;12;29073;;31173;;163;America/Toronto;2016-06-22;Canada;46.11353,-70.66526
6955478;Les Escoumins;Les Escoumins;Les Escoumins,lh askwmn  kbk,lys ayskwmyns,له اسکومن، کبک,ليس إيسكومينس;P;PPL;CA;Canada;;10;09;95025;;1339;;11;America/Toronto;2019-08-08;Canada;48.35191,-69.40724
7281936;West Kelowna;West Kelowna;District of West Kelowna,West Kelowna,uesutokerouna,xi ji long na,ویسٹ کیلونا,ウェストケロウナ,ウエストケロウナ,西基隆拿;P;PPL;CA;Canada;;02;5935;5935029;;28793;;484;America/Vancouver;2019-02-26;Canada;49.8625,-119.58333
7535694;Metabetchouan-Lac-a-la-Croix;Metabetchouan-Lac-a-la-Croix;Métabetchouan–Lac-à-la-Croix;P;PPL;CA;Canada;;10;02;93012;;4084;;160;America/Toronto;2016-06-22;Canada;48.41,-71.78
7870910;Dufferin Grove;Dufferin Grove;;P;PPLX;CA;Canada;;08;3520;;;11785;;111;America/Toronto;2020-05-02;Canada;43.65766,-79.42793
12070753;Heritage Pointe;Heritage Pointe;;P;PPL;CA;Canada;;01;4806001;;;2075;;1048;America/Edmonton;2019-08-09;Canada;50.84213,-114.00493
12070754;Aldergrove East;Aldergrove East;;P;PPL;CA;Canada;;02;5909;5909052;;3491;;110;America/Vancouver;2020-05-30;Canada;49.05614,-122.45457
12070760;Starlight Village;Starlight Village;;P;PPL;CA;Canada;;04;1310;;;2127;;96;America/Moncton;2019-08-09;Canada;45.88308,-66.76905
12156856;Old East York;Old East York;;P;PPLX;CA;Canada;;08;3520;;;9233;;129;America/Toronto;2020-05-02;Canada;43.69678,-79.33549
12156859;Rockcliffe-Smythe;Rockcliffe-Smythe;;P;PPLX;CA;Canada;;08;3520;;;22246;;109;America/Toronto;2020-05-02;Canada;43.67479,-79.49442
12156876;Weston-Pellam Park;Weston-Pellam Park;;P;PPLX;CA;Canada;;08;3520;;;11098;;125;America/Toronto;2020-05-02;Canada;43.67396,-79.46024
8858588;Manzana Quinta (La Cañada);Manzana Quinta (La Canada);Manzana Quinta (La Canada),Manzana Quinta (La Cañada);P;PPL;MX;Mexico;;15;047;;;2393;;2732;America/Mexico_City;2014-04-11;Mexico;19.54222,-99.6025
5887214;Arnprior;Arnprior;Arnprajor,anpuraia,arnprywr,Арнпрајор,آرنپریور,アーンプライアー;P;PPL;CA;Canada;;08;;;;8795;;72;America/Toronto;2021-12-23;Canada;45.43341,-76.34939
