Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
2224641;Ngomedzap;Ngomedzap;Ngomedzap;P;PPL;CM;Cameroon;;11;;;;4284;;701;Africa/Douala;2012-01-16;Cameroon;3.25,11.2
2224863;Ngambé;Ngambe;Babimbi,Ngambe,Ngambé,Nganbe,Nganbé;P;PPL;CM;Cameroon;;05;2222269;;;6414;;575;Africa/Douala;2015-02-28;Cameroon;4.23343,10.61532
2225745;Mundemba;Mundemba;Mundemba,Mundenba,Ndian;P;PPL;CM;Cameroon;;09;;;;11912;;111;Africa/Douala;2012-01-16;Cameroon;4.9479,8.8724
2227980;Mbankomo;Mbankomo;Mbankomo;P;PPL;CM;Cameroon;;11;;;;2387;;732;Africa/Douala;2012-01-16;Cameroon;3.78333,11.38333
2228019;Mbang;Mbang;Mbang;P;PPL;CM;Cameroon;;04;;;;1237;;683;Africa/Douala;2018-12-04;Cameroon;4.58333,13.33333
2229152;Loum;Loum;Loum,Lum,Лум;P;PPL;CM;Cameroon;;05;;;;177429;;235;Africa/Douala;2012-01-16;Cameroon;4.7182,9.7351
2230876;Guider;Guider;Gider,Guidder,Guider;P;PPL;CM;Cameroon;;13;;;;84647;;346;Africa/Douala;2014-01-08;Cameroon;9.9333,13.94671
2232593;Douala;Douala;DLA,Douala,Doula,Dual,Duala,Dualao,Dóúala,Ntouala,dau'ala,douara,du a la,du xa la,dualla,dwala,Ντουάλα,Дуала,דואלה,دوالا,दौआला,ਦੌਆਲਾ,ดูอาลา,ドゥアラ,杜阿拉,두알라;P;PPLA;CM;Cameroon;;05;;;;1338082;;19;Africa/Douala;2019-09-05;Cameroon;4.04827,9.70428
2232774;Djohong;Djohong;Djohong,Doumba;P;PPL;CM;Cameroon;;10;;;;4813;;1271;Africa/Douala;2012-01-16;Cameroon;6.83333,14.7
2234865;Bangangté;Bangangte;Bangangte,Bangangté,Bangante,Banganté;P;PPL;CM;Cameroon;;08;;;;65385;;1337;Africa/Douala;2013-07-04;Cameroon;5.14079,10.52535
2220849;Yoko;Yoko;Joko,Yoko;P;PPL;CM;Cameroon;;11;;;;5269;;992;Africa/Douala;2012-01-16;Cameroon;5.53333,12.31667
2225325;Ndelele;Ndelele;Alte Fakt Delele,Delele,Delelé,Ndelele,Ndélélé,Vieux-Delele,Vieux-Délélé;P;PPL;CM;Cameroon;;04;;;;5040;;605;Africa/Douala;2012-04-07;Cameroon;4.04065,14.92501
2236053;Abong Mbang;Abong Mbang;Abong Mbang;P;PPL;CM;Cameroon;;04;;;;14661;;694;Africa/Douala;2012-01-16;Cameroon;3.98333,13.18333
2230028;Kontcha;Kontcha;Koncha,Kontcha,Kontscha;P;PPL;CM;Cameroon;;10;;;;8018;;425;Africa/Douala;2012-01-16;Cameroon;7.96667,12.23333
2233056;Dimako;Dimako;Dimako;P;PPL;CM;Cameroon;;04;;;;8476;;649;Africa/Douala;2012-01-16;Cameroon;4.38333,13.56667
