Geoname ID;Name;ASCII Name;Alternate Names;Feature Class;Feature Code;Country Code;Country name EN;Country Code 2;Admin1 Code;Admin2 Code;Admin3 Code;Admin4 Code;Population;Elevation;DIgital Elevation Model;Timezone;Modification date;LABEL EN;Coordinates
3010332;La Chapelle-Gauthier;La Chapelle-Gauthier;La Chapelle-Gauthier,La Chapelle-en-Brie;P;PPL;FR;France;;11;77;773;77086;1358;;105;Europe/Paris;2019-03-26;France;48.54947,2.89776
3011371;La Barasse;La Barasse;;P;PPLX;FR;France;;93;13;133;13055;2461;;74;Europe/Paris;2018-08-22;France;43.28433,5.48664
3012777;Ingwiller;Ingwiller;Ingeweiler,Ingweiler;P;PPL;FR;France;;44;67;674;67222;4098;;191;Europe/Paris;2019-02-20;France;48.87284,7.4798
3012953;Hussigny-Godbrange;Hussigny-Godbrange;Hussigny,Hussigny-Godbrange;P;PPL;FR;France;;44;54;541;54270;3160;;401;Europe/Paris;2018-11-06;France;49.49437,5.86677
3012954;Husseren-Wesserling;Husseren-Wesserling;Husseren,Husseren-Wesserling,Hüsseren;P;PPL;FR;France;;44;68;686;68151;1017;;437;Europe/Paris;2018-11-06;France;47.88351,6.98994
3013007;Huisseau-sur-Cosson;Huisseau-sur-Cosson;Huisseau,Huisseau-sur-Cosson,Huisseaux-sur-Cosson;P;PPL;FR;France;;24;41;411;41104;1990;;78;Europe/Paris;2016-02-18;France;47.59335,1.45333
3013200;Homblières;Homblieres;Homblieres,Homblières;P;PPL;FR;France;;32;02;023;02383;1493;;82;Europe/Paris;2016-02-18;France;49.85031,3.36456
3013201;Hombleux;Hombleux;Hombleux;P;PPL;FR;France;;32;80;804;80442;1043;;65;Europe/Paris;2016-02-18;France;49.73942,2.98574
3013402;Hérouvillette;Herouvillette;Herouvillette,Hérouvillette;P;PPL;FR;France;;28;14;143;14328;1168;;15;Europe/Paris;2019-03-26;France;49.2213,-0.24348
3013830;Haussy;Haussy;Haussy,Osi,Ossi,ou xi,Оси,Осси,Оссі,欧西;P;PPL;FR;France;;32;59;592;59289;1704;;57;Europe/Paris;2016-02-18;France;50.2183,3.47683
3013926;Hardricourt;Hardricourt;Ardrikur,Hardricourt,Ардрикур;P;PPL;FR;France;;11;78;781;78299;1941;;61;Europe/Paris;2016-02-18;France;49.00779,1.89389
3014029;Ham;Ham;Ham,Sparte;P;PPL;FR;France;;32;80;804;80410;5698;;67;Europe/Paris;2016-02-18;France;49.74721,3.07301
3014213;Guipavas;Guipavas;Gipava,Guipavas,Gwipavaz,ji pa wa,Гипава,Гіпава,吉帕瓦;P;PPL;FR;France;;53;29;291;29075;13755;;85;Europe/Paris;2020-10-24;France;48.43411,-4.40197
3014224;Guînes;Guines;Gin,Gjuin,Guines,Guines-en-Calaisis,Guinne,Guînes,Guînes-en-Calaisis,ji ne,jwynys,Гин,Гюин,Гюїн,جوينيس,吉讷;P;PPL;FR;France;;32;62;626;62397;5342;;13;Europe/Paris;2016-02-18;France;50.86708,1.87025
3014274;Guillac;Guillac;Gilieg,Guillac;P;PPL;FR;France;;53;56;562;56079;1170;;60;Europe/Paris;2020-07-09;France;47.91096,-2.46651
3014294;Guignen;Guignen;Gin'jan,Guignen,Gwinien,ji gai en,Гиньян,Гіньян,吉盖恩;P;PPL;FR;France;;53;35;352;35127;2645;;69;Europe/Paris;2020-08-12;France;47.92092,-1.86298
3014365;Guern;Guern;Guern,Gwern;P;PPL;FR;France;;53;56;562;56076;1500;;145;Europe/Paris;2020-07-09;France;48.03044,-3.09196
3014367;Guermantes;Guermantes;Germant,Германт;P;PPL;FR;France;;11;77;775;77221;1537;;103;Europe/Paris;2016-02-18;France;48.85303,2.70495
3014450;Guarbecque;Guarbecque;Gjuarbek,Guarbecque,Guerbecque,Guérbécque,gua er bei ke,jwabysykyw,Гюарбек,جوابيسيكيو,瓜尔贝克;P;PPL;FR;France;;32;62;622;62391;1299;;20;Europe/Paris;2016-02-18;France;50.61162,2.48895
3014466;Gruson;Gruson;Gruson;P;PPL;FR;France;;32;59;595;59275;1228;;44;Europe/Paris;2016-02-18;France;50.59583,3.20777
3014560;Grosbliederstroff;Grosbliederstroff;Grosbliderstroff,Gross-Blittersdorf,Grossbliederstroff,Grossblittersdorf,Großblittersdorf,ge luo si bu li ye dai er si te luo,Гросблидерстрофф,Гросблідерстрофф,格罗斯布利耶代尔斯特罗;P;PPL;FR;France;;44;57;576;57260;3433;;215;Europe/Paris;2016-02-21;France;49.15808,7.02413
3014606;Grisolles;Grisolles;Grisolles;P;PPL;FR;France;;76;82;822;82075;3119;;110;Europe/Paris;2016-02-18;France;43.8292,1.29673
3014868;Grans;Grans;Gran,Grans,ge lang,Гран,Гранс,格朗;P;PPL;FR;France;;93;13;134;13044;3999;;57;Europe/Paris;2019-06-05;France;43.60862,5.0629
3015463;Gouvernes;Gouvernes;Gouvernes,Guvern,Гуверн;P;PPL;FR;France;;11;77;775;77209;1132;;53;Europe/Paris;2016-02-18;France;48.86007,2.69074
3015658;Gorges;Gorges;Gored,Gorge,Gorges;P;PPL;FR;France;;52;44;442;44064;3087;;37;Europe/Paris;2020-09-10;France;47.10112,-1.30267
3015681;Gonnehem;Gonnehem;Gonam,Gonhin,Gonneem,Gonnehem,ge ne mu,jwnyhym,Гонам,Гоннеем,جونيهيم,戈讷姆;P;PPL;FR;France;;32;62;622;62376;2257;;21;Europe/Paris;2016-02-18;France;50.56061,2.57277
3015690;Gondrin;Gondrin;Gondrin;P;PPL;FR;France;;76;32;322;32149;1049;;182;Europe/Paris;2020-04-08;France;43.88499,0.23652
3016053;Gilette;Gilette;Gilette;P;PPL;FR;France;;93;06;062;06066;1302;;467;Europe/Paris;2019-08-07;France;43.84976,7.16346
3016247;Gergy;Gergy;Gergy,Zherzhi,Жержи,Жержі;P;PPL;FR;France;;27;71;712;71215;2462;;188;Europe/Paris;2016-02-18;France;46.87557,4.94527
3016274;Gérardmer;Gerardmer;Gerardmer,Gérardmer,Ormont,Zherardmer,Zherarme,Zherarmer,jerarume,re la er de mei,Жерардмер,Жерарме,Жерармер,ジェラールメ,热拉尔德梅;P;PPL;FR;France;;44;88;883;88196;10084;;663;Europe/Paris;2016-02-21;France;48.07346,6.87787
3016321;Gennevilliers;Gennevilliers;Genneville,Gennevillers,Gennevilliers,Zhanvilije,Zhennvil'e,Zhenvil'e,jenbillie,junuvuirie,re ne wei ye,zhnwylyh,Жанвилије,Женвилье,Женнвилье,Женнвільє,ژنویلیه,ジュヌヴィリエ,热讷维耶,젠빌리에;P;PPL;FR;France;;11;92;922;92036;42294;;31;Europe/Paris;2016-02-18;France;48.93333,2.3
3016595;Garons;Garons;Garon,Garons,jia long,Гарон,加龙;P;PPL;FR;France;;76;30;302;30125;4019;;95;Europe/Paris;2020-06-10;France;43.7682,4.42849
3016992;Fromelennes;Fromelennes;Fromelennes;P;PPL;FR;France;;44;08;081;08183;1137;;117;Europe/Paris;2016-02-18;France;50.12333,4.85952
3017144;Fresnoy-le-Grand;Fresnoy-le-Grand;Frenua-le-Gran,Fresnot-el-Grind,Fresnoy,Fresnoy-le-Grand,Frésnot-él-Grind,da fu lei nu wa,Френуа-ле-Гран,大弗雷努瓦;P;PPL;FR;France;;32;02;023;02334;3013;;116;Europe/Paris;2016-02-18;France;49.94757,3.41841
3017306;Frasne;Frasne;Fran,Frasne,fu la si en,Фран,弗拉斯恩;P;PPL;FR;France;;27;25;253;25259;1696;;856;Europe/Paris;2016-02-18;France;46.85641,6.1594
3017557;Fouquières-lès-Béthune;Fouquieres-les-Bethune;Foukere-les-Betheune,Foukère-lès-Bétheune,Fouquieres,Fouquieres-les-Bethune,Fouquières,Fouquières-lès-Béthune,Fuk'er-le-Betjun,Fuker-le-Betjun,Fukjer le Beten,fu ji ye er lai bei di ne,fwkywyrys lyh bythwn,Фукьер-ле-Бетюн,Фукєр-ле-Бетюн,Фукјер ле Бетен,فوكيويريس ليه بيثون,富基耶尔莱贝蒂讷;P;PPL;FR;France;;32;62;622;62350;1182;;30;Europe/Paris;2016-02-18;France;50.51534,2.60999
3017879;Fontenilles;Fontenilles;Fontenilles;P;PPL;FR;France;;76;31;311;31188;3266;;203;Europe/Paris;2020-05-07;France;43.5535,1.19142
3018042;Fontaine-le-Dun;Fontaine-le-Dun;Fontaine,Fontaine-le-Dun;P;PPL;FR;France;;28;76;761;76272;1025;;53;Europe/Paris;2016-02-18;France;49.81182,0.85095
3018189;Foëcy;Foecy;Foecy,Foëcy;P;PPL;FR;France;;24;18;183;18096;2053;;116;Europe/Paris;2016-02-18;France;47.17618,2.16257
3018252;Flixecourt;Flixecourt;Flixecourt;P;PPL;FR;France;;32;80;802;80318;3104;;18;Europe/Paris;2016-02-18;France;50.01465,2.08095
3018277;Fleury-sur-Andelle;Fleury-sur-Andelle;Fleury,Fleury-sur-Andelle;P;PPL;FR;France;;28;27;271;27246;1995;;32;Europe/Paris;2016-02-18;France;49.36176,1.35599
3018492;Fillé;Fille;Fie,Fille,Fille-sur-Sarthe,Fillé,Fillé-sur-Sarthe,Фіє;P;PPL;FR;France;;52;72;721;72133;1135;;41;Europe/Paris;2020-12-10;France;47.89861,0.12502
3018561;Feuquières-en-Vimeu;Feuquieres-en-Vimeu;Feuquieres,Feuquieres-en-Vimeu,Feuquières,Feuquières-en-Vimeu;P;PPL;FR;France;;32;80;801;80308;2429;;101;Europe/Paris;2016-02-18;France;50.05982,1.60465
3018590;Féternes;Feternes;Feterne,Feternes,Féterne,Féternes;P;PPL;FR;France;;84;74;744;74127;1269;;698;Europe/Paris;2019-06-05;France;46.35582,6.54829
3018780;Feigères;Feigeres;Feigeres,Feigères;P;PPL;FR;France;;84;74;743;74124;1360;;567;Europe/Paris;2019-06-05;France;46.11228,6.07937
3019229;Eygalières;Eygalieres;Aigalieras,Egalijer,Ehgal'er,Ejgal'er,Eygalieres,Eygalières,ai jia li ai,Егалијер,Ейгальєр,Эгальер,埃加利埃;P;PPL;FR;France;;93;13;132;13034;1913;;112;Europe/Paris;2016-02-18;France;43.76099,4.94968
3019248;Exincourt;Exincourt;Exincourt;P;PPL;FR;France;;27;25;252;25230;3452;;320;Europe/Paris;2016-02-18;France;47.49465,6.83169
3019532;Estissac;Estissac;Estissac,Lyebault-sur-Vanne,Lyébault-sur-Vanne,Val-Libre;P;PPL;FR;France;;44;10;103;10142;1746;;131;Europe/Paris;2016-02-18;France;48.2692,3.80515
3019716;Espaly-Saint-Marcel;Espaly-Saint-Marcel;Espaly,Espaly-Saint-Marcel,Espaly-et-Marcel;P;PPL;FR;France;;84;43;432;43089;3971;;639;Europe/Paris;2016-02-18;France;45.0479,3.86557
3019810;Esches;Esches;Esches;P;PPL;FR;France;;32;60;601;60218;1113;;78;Europe/Paris;2016-02-18;France;49.22086,2.16595
3020036;Épinac;Epinac;Epinac-les-Mines,Epinak,Épinac-les-Mines,Епинак,Епінак;P;PPL;FR;France;;27;71;711;71190;2531;;330;Europe/Paris;2016-02-18;France;46.98333,4.51667
3020094;Épaignes;Epaignes;Epaignes,Épaignes;P;PPL;FR;France;;28;27;272;27218;1228;;157;Europe/Paris;2016-02-18;France;49.27945,0.4398
3020142;Entraigues-sur-la-Sorgue;Entraigues-sur-la-Sorgue;Antreg-sjur-la-Sorg,Entraigas,Entraigas de Sorga,Entraigas de Sòrga,Entraigues,Entraigues-sur-Sorgue,Entraigues-sur-Sorgues,Entraigues-sur-la-Sorgue,la suo er ju he pan ang te lai ju e,Антрег-сюр-ла-Сорг,拉索尔居河畔昂特赖居厄;P;PPL;FR;France;;93;84;842;84043;7206;;36;Europe/Paris;2019-06-05;France;44.0032,4.92657
